Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust;Word
 anger; anticip; disgust; fear; joy; sadness; surprise; trust;treat
 anger; anticip; disgust; fear; joy; sadness; surprise; trust;feeling
 anger; anticip; disgust; fear; joy;; surprise; trust;obliging
 anger; anticip; disgust; fear; joy;;; trust;powerful
 anger; anticip; disgust; fear; joy;;; trust;nurture
 anger; anticip; disgust; fear;; sadness; surprise;;epidemic
 anger; anticip; disgust; fear;; sadness; surprise;;death
 anger; anticip; disgust; fear;; sadness;; trust;owing
 anger; anticip; disgust; fear;; sadness;;;torture
 anger; anticip; disgust; fear;; sadness;;;stripped
 anger; anticip; disgust; fear;; sadness;;;shackle
 anger; anticip; disgust; fear;; sadness;;;sentence
 anger; anticip; disgust; fear;; sadness;;;rabid
 anger; anticip; disgust; fear;; sadness;;;punished
 anger; anticip; disgust; fear;; sadness;;;litigate
 anger; anticip; disgust; fear;; sadness;;;infanticide
 anger; anticip; disgust; fear;; sadness;;;homeless
 anger; anticip; disgust; fear;; sadness;;;guillotine
 anger; anticip; disgust; fear;; sadness;;;grim
 anger; anticip; disgust; fear;; sadness;;;dreadful
 anger; anticip; disgust; fear;; sadness;;;doomsday
 anger; anticip; disgust; fear;; sadness;;;dictatorship
 anger; anticip; disgust; fear;; sadness;;;devil
 anger; anticip; disgust; fear;; sadness;;;depraved
 anger; anticip; disgust; fear;; sadness;;;condemnation
 anger; anticip; disgust; fear;;;;;opponent
 anger; anticip; disgust; fear;;;;;conspirator
 anger; anticip; disgust;; joy;; surprise; trust;tree
 anger; anticip; disgust;; joy;; surprise; trust;morals
 anger; anticip; disgust;; joy;; surprise; trust;celebrity
 anger; anticip; disgust;;; sadness;;;lagging
 anger; anticip; disgust;;;; surprise;;latent
 anger; anticip; disgust;;;; surprise;;clamor
 anger; anticip;; fear; joy; sadness; surprise; trust;opera
 anger; anticip;; fear; joy;; surprise; trust;supremacy
 anger; anticip;; fear; joy;; surprise;;youth
 anger; anticip;; fear; joy;; surprise;;raving
 anger; anticip;; fear; joy;; surprise;;excite
 anger; anticip;; fear; joy;; surprise;;excitation
 anger; anticip;; fear; joy;;; trust;cash
 anger; anticip;; fear;; sadness; surprise;;tempest
 anger; anticip;; fear;; sadness; surprise;;revolution
